orth,phon,type,Sim 1,,Sim 2 (raw),Sim 2 (sqrt),Sim 3 (RT)
batch,/b@C/,#,0.017761,0.019234,0.004691,1.74,
bate,/bAt/,#,0.006504,0.001384,0.000827,1.62,
bath,/b@T/,#,0.004404,0.009698,0.011059,1.73,
bathe,/bAD/,#,0.072452,0.159950,0.090487,1.97,
bay,/bA/,#,0.001335,0.000033,0.000187,1.43,
beach,/bEC/,#,0.012148,0.002173,0.005400,1.76,
bead,/bEd/,#,0.139136,0.110339,0.047503,1.82,
beak,/bEk/,#,0.046742,0.201375,0.083048,1.98,
beam,/bEm/,LEC,0.028058,0.021706,0.003401,1.62,
bean,/bEn/,#,0.082570,0.107499,0.083285,1.98,
bear,/bAr/,#,0.138520,0.028991,0.061733,1.64,
beard,/bErd/,#,0.214983,0.086282,0.116970,1.82,
beast,/bEst/,REG,0.092566,0.033147,0.031656,1.85,
beat,/bEt/,#,0.060750,0.004435,0.010919,1.68,
beau,/bO/,#,0.222520,13.872196,0.093939,1.92,
beck,/bek/,#,0.001434,0.011098,0.000717,1.51,
bed,/bed/,#,0.000663,0.000278,0.001961,1.5,
bee,/bE/,#,0.000524,0.000049,0.000226,1.61,
beech,/bEC/,#,0.041131,0.017151,0.015512,1.79,
beef,/bEf/,#,0.008819,0.001258,0.002571,1.63,
beek,/bEk/,#,0.022122,0.006121,0.000483,1.66,
been,/bin/,#,0.073255,0.000891,0.008933,1.63,
beep,/bEp/,#,0.031338,0.001374,0.012009,1.86,
beer,/bEr/,#,0.032590,0.002173,0.003185,1.64,
beet,/bEt/,#,0.004940,0.005901,0.000257,1.59,
beg,/beg/,#,0.035500,0.001229,0.004655,1.65,
beige,/bAZ/,#,0.305527,0.898342,0.254835,1.91,
belch,/belC/,#,0.011165,0.075790,0.056763,1.81,
bell,/bel/,#,0.000646,0.006074,0.000375,1.61,
belle,/bel/,#,0.006024,0.030125,0.003260,1.67,
belt,/belt/,CON,0.000571,0.000082,0.000910,1.56,
bench,/benC/,#,0.028533,0.013795,0.007592,1.81,
bend,/bend/,#,0.002718,0.000253,0.003190,1.51,
bent,/bent/,#,0.001654,0.001292,0.003170,1.5,
berth,/burT/,#,0.013480,0.008305,0.001783,1.64,
best,/best/,HEC,0.007044,0.000318,0.002100,1.65,
bet,/bet/,#,0.000971,0.000039,0.000998,1.55,
bib,/bib/,#,0.018196,0.056369,0.012116,1.73,
bid,/bid/,#,0.076212,0.000967,0.024699,1.63,
bide,/bId/,#,0.001524,0.000325,0.014828,1.64,
big,/big/,HEC,0.005250,0.000337,0.001239,1.63,
bike,/bIk/,#,0.007905,0.001509,0.019116,1.64,
bile,/bIl/,#,0.004291,0.002063,0.003715,1.75,
bilge,/bilj/,#,0.108066,0.057092,0.087635,1.93,
bill,/bil/,#,0.001040,0.000158,0.000180,1.65,
bin,/bin/,#,0.006523,0.005280,0.012643,1.55,
bind,/bInd/,#,0.083428,0.024682,0.024520,1.98,
bing,/biN/,#,0.040158,0.001516,0.005093,1.72,
binge,/binj/,#,0.054417,0.131936,0.018298,2.1,
birch,/burC/,#,0.044252,0.006960,0.033836,1.68,
bird,/burd/,HFRIC,0.003448,0.006494,0.002521,1.68,
birth,/burT/,#,0.002035,0.000526,0.003039,1.74,
bit,/bit/,#,0.002143,0.001744,0.005251,1.67,
bitch,/biC/,#,0.000712,0.003211,0.000696,1.84,
bite,/bIt/,#,0.007106,0.001011,0.002255,1.71,
black,/bl@k/,#,0.009997,0.000648,0.002856,1.55,
blade,/blAd/,CON,0.004730,0.004569,0.002513,1.73,
blame,/blAm/,#,0.008883,0.009197,0.004948,1.6,
blanch,/bl@nC/,#,0.005239,0.029054,0.020414,1.79,
bland,/bl@nd/,#,0.004797,0.001511,0.007757,1.62,
blank,/bl@Nk/,#,0.007924,0.001346,0.013770,1.57,
blare,/blAr/,#,0.035944,0.068248,0.070554,1.82,
blast,/bl@st/,#,0.044079,0.013007,0.040769,1.81,
blaze,/blAz/,#,0.025166,0.055331,0.010616,1.69,
bleach,/blEC/,#,0.033525,0.007747,0.005845,1.8,
bleak,/blEk/,#,0.008065,0.003927,0.018004,1.84,
bleat,/blEt/,#,0.051862,0.065140,0.022441,1.68,
bled,/bled/,#,0.000205,0.000584,0.000743,1.48,
bleed,/blEd/,#,0.002576,0.103273,0.029576,1.61,
bleep,/blEp/,#,0.013305,0.005391,0.002009,1.96,
blend,/blend/,#,0.000566,0.000831,0.007113,1.51,
bless,/bles/,#,0.002005,0.000285,0.008248,1.65,
blest,/blest/,#,0.002230,0.000193,0.003343,1.64,
blew,/blU/,#,0.001609,0.002195,0.000790,1.68,
blight,/blIt/,#,0.003847,0.002148,0.010792,1.64,
blimp,/blimp/,#,0.012627,0.021061,0.008542,1.88,
blind,/blInd/,#,0.039513,0.013976,0.022115,1.69,
blink,/bliNk/,#,0.024241,0.004381,0.011751,1.62,
bliss,/blis/,#,0.000984,0.000600,0.000922,1.63,
blithe,/blID/,#,0.021111,0.050820,0.029931,1.81,
blitz,/blits/,#,0.099148,0.221633,0.093194,1.98,
bloat,/blOt/,#,0.006300,0.004746,0.011633,1.68,
blob,/blab/,#,0.016442,0.009581,0.009157,1.78,
bloc,/blak/,#,0.066059,0.037563,0.064182,1.92,
block,/blak/,#,0.001549,0.002045,0.001917,1.65,
bloke,/blOk/,#,0.005015,0.000264,0.002682,1.66,
blond,/bland/,#,0.038583,0.013195,0.011629,1.71,
blood,/bl^d/,#,0.074839,0.005822,0.023554,1.73,
bloom,/blUm/,#,0.021630,0.015766,0.010706,1.71,
blot,/blat/,#,0.054516,0.079460,0.088215,1.74,
blouse,/blWs/,#,0.161131,0.171780,0.058754,2.29,
blow,/blO/,#,0.026442,0.002673,0.008671,1.61,
blown,/blOn/,#,0.066547,0.053837,0.014835,1.57,
blue,/blU/,#,0.010443,0.002692,0.004120,1.7,
bluff,/bl^f/,#,0.005751,0.002324,0.006250,1.62,
blunt,/bl^nt/,#,0.039502,0.008156,0.001407,1.66,
blur,/blur/,#,0.082115,0.066814,0.048514,1.71,
blush,/bl^S/,#,0.059849,0.120839,0.063785,1.71,
boar,/bOr/,#,0.000486,0.000052,0.000267,1.48,
board,/bOrd/,#,0.003940,0.000773,0.002335,1.63,
boast,/bOst/,#,0.010686,0.023374,0.004810,1.82,
boat,/bOt/,#,0.000390,0.000121,0.000469,1.58,
bob,/bab/,#,0.010175,0.021600,0.004207,1.81,
bog,/bog/,#,0.109924,0.110046,0.072965,1.96,
boil,/bYl/,REG,0.013739,0.002463,0.006790,1.7,
bold,/bOld/,#,0.039430,0.004369,0.006620,1.73,
bolt,/bOlt/,#,0.033581,0.004163,0.011969,1.76,
bomb,/bam/,#,0.055923,0.020944,0.040925,1.82,
bond,/band/,#,0.006100,0.004770,0.001626,1.69,
bone,/bOn/,HRI,0.022531,0.040017,0.051562,1.71,
bong,/boN/,#,0.021361,0.026534,0.003153,1.79,
boo,/bU/,#,0.003462,0.000153,0.004477,1.65,
book,/buk/,#,0.008320,0.000911,0.002839,1.66,
boom,/bUm/,#,0.015932,0.006613,0.005411,1.66,
boon,/bUn/,#,0.019080,0.003719,0.006801,1.65,
boost,/bUst/,#,0.062542,0.044247,0.070945,2.03,
boot,/bUt/,#,0.097982,0.014723,0.004987,1.96,
booth,/bUT/,#,0.074697,0.021881,0.043588,2,
booze,/bUz/,#,0.022006,0.028644,0.016013,1.97,
bop,/bap/,#,0.029862,0.013945,0.039476,1.75,
bore,/bOr/,#,0.001286,0.000759,0.003794,1.63,
born,/bOrn/,#,0.001432,0.000408,0.008967,1.57,
borne,/bOrn/,#,0.007547,0.035933,0.004347,1.6,
boss,/bos/,#,0.010012,0.008014,0.007374,1.81,
both,/bOT/,HFE,0.045764,0.002520,0.016575,1.73,
bough,/bW/,#,0.505357,0.461516,0.404369,2.07,
bought,/bot/,#,0.087277,0.008866,0.037879,1.73,
bounce,/bWns/,#,0.035080,0.013945,0.049184,1.69,
bound,/bWnd/,#,0.010538,0.007921,0.010471,1.77,
bout,/bWt/,#,0.006715,0.001321,0.002438,1.6,
*bow,/bO/,homg,1.497281,1.207466,1.394562,2.56,
bow,/bW/,homg,1.312832,1.618913,1.390302,2.56,
bowl,/bOl/,LFEEXPT,0.079255,0.087994,0.073038,1.83,
box,/baks/,#,0.008571,0.001183,0.006886,1.89,
boy,/bY/,#,0.006255,0.001742,0.001544,1.76,
brace,/brAs/,#,0.005844,0.016406,0.004329,1.72,
brad,/br@d/,#,0.004161,0.031280,0.002343,1.57,
brag,/br@g/,#,0.014734,0.014275,0.007993,1.79,
braid,/brAd/,RI,0.007979,0.006629,0.006529,1.62,
braille,/brAl/,#,0.029846,0.037041,0.005692,1.75,
brain,/brAn/,#,0.010078,0.000961,0.001365,1.61,
brake,/brAk/,#,0.006310,0.001731,0.003064,1.62,
bran,/br@n/,#,0.016458,0.001150,0.001159,1.58,
branch,/br@nC/,#,0.005883,0.015569,0.004644,1.7,
brand,/br@nd/,#,0.025678,0.006288,0.007513,1.52,
brash,/br@S/,#,0.011861,0.017024,0.003777,1.65,
brass,/br@s/,#,0.086727,0.015965,0.005647,1.82,
brat,/br@t/,#,0.015564,0.003650,0.029430,2.14,
brave,/brAv/,#,0.025868,0.018449,0.013712,1.69,
brawl,/brol/,#,0.000273,0.024870,0.004151,1.55,
brawn,/bron/,#,0.005752,0.004125,0.001790,1.5,
breach,/brEC/,#,0.072115,0.013973,0.034608,1.9,
bread,/bred/,#,0.118520,0.008016,0.053921,1.63,
breadth,/bredT/,#,0.022652,0.013127,0.011578,1.92,
break,/brAk/,HFE,0.070076,0.019125,0.035925,1.64,
breast,/brest/,#,0.105529,0.069917,0.096038,1.65,
breath,/breT/,#,0.068841,0.022496,0.031777,1.77,
breathe,/brED/,#,0.100705,0.136146,0.099184,1.96,
bred,/bred/,#,0.000230,0.000587,0.000658,1.56,
breed,/brEd/,#,0.018997,0.008409,0.031264,1.59,
breeze,/brEz/,#,0.016200,0.005958,0.015836,1.64,
brew,/brU/,#,0.001247,0.007853,0.001116,1.6,
bribe,/brIb/,#,0.014531,0.014687,0.011529,1.8,
brick,/brik/,#,0.004585,0.002878,0.004327,1.64,
bride,/brId/,#,0.004128,0.001558,0.004256,1.74,
bridge,/brij/,#,0.022360,0.009947,0.019781,1.88,
brief,/brEf/,#,0.014499,0.010659,0.014034,1.84,
brig,/brig/,#,0.029842,0.002348,0.004428,1.71,
bright,/brIt/,#,0.009893,0.000922,0.003166,1.76,
brim,/brim/,#,0.017784,0.005124,0.007107,1.59,
bring,/briN/,#,0.005628,0.001712,0.007268,1.75,
brink,/briNk/,#,0.004539,0.002722,0.004798,1.73,
brisk,/brisk/,LRIC,0.043333,0.005482,0.006554,1.75,
broach,/brOC/,#,0.004552,0.003678,0.002346,1.7,
broad,/brod/,LFEEXPT,0.043795,0.007016,0.031003,1.7,
broil,/brYl/,#,0.017895,0.012562,0.016338,1.94,
broke,/brOk/,LEC,0.005885,0.003406,0.010460,1.59,
bronze,/branz/,#,0.053416,0.078561,0.066528,1.82,
brooch,/brOC/,STR,0.306383,0.838407,0.122720,2.8,
brood,/brUd/,LFRI,0.101285,0.032990,0.042565,1.76,
brook,/bruk/,#,0.176245,0.082786,0.075064,1.79,
broom,/brUm/,#,0.002604,0.001620,0.010703,1.68,
broth,/broT/,#,0.159736,0.283510,0.194007,2.12,
brought,/brot/,HSTR,0.037715,0.006423,0.008749,1.76,
brow,/brW/,#,0.077468,0.136091,0.040320,1.85,
brown,/brWn/,#,0.040749,0.001956,0.012912,1.76,
bruise,/brUz/,#,0.069243,0.066080,0.026410,1.93,
brunt,/br^nt/,#,0.047100,0.033284,0.002787,1.65,
brush,/br^S/,#,0.047653,0.012041,0.008313,1.94,
brute,/brUt/,#,0.007321,0.008034,0.047473,1.78,
buck,/b^k/,#,0.000323,0.005384,0.000654,1.56,
bud,/b^d/,#,0.028639,0.000878,0.006339,1.6,
budge,/b^j/,#,0.053733,0.033610,0.030668,1.92,
buff,/b^f/,#,0.006103,0.000655,0.003461,1.66,
bug,/b^g/,#,0.019195,0.001715,0.002229,1.73,
build,/bild/,LSTR,0.015094,0.004306,0.014409,1.62,
built,/bilt/,#,0.009790,0.003272,0.006895,1.81,
bulb,/b^lb/,UNQ,0.021561,0.004982,0.018312,1.61,
bulge,/b^lj/,#,0.053459,0.061181,0.069676,1.99,
bulk,/b^lk/,#,0.085546,0.029464,0.028732,1.81,
bull,/bul/,#,0.126391,0.028054,0.081728,1.82,
bum,/b^m/,#,0.002939,0.022988,0.003007,1.65,
bump,/b^mp/,#,0.015087,0.010576,0.011235,1.8,
bun,/b^n/,#,0.020758,0.000294,0.001419,1.6,
bunch,/b^nC/,#,0.002718,0.003571,0.016505,1.74,
bunk,/b^Nk/,#,0.006326,0.004662,0.004243,1.58,
bunt,/b^nt/,#,0.006031,0.000501,0.000461,1.73,
burl,/burl/,#,0.013748,0.011894,0.008568,1.63,
burn,/burn/,#,0.011228,0.006936,0.001339,1.59,
burnt,/burnt/,UNQ,0.057094,0.038453,0.000442,1.62,
burr,/bur/,#,0.002096,0.001263,0.000405,1.57,
burst,/burst/,#,0.005190,0.007243,0.005603,1.63,
bus,/b^s/,LEC,0.015744,0.017036,0.017346,1.7,
bush,/buS/,LFE,0.159538,0.083176,0.056221,1.84,
buss,/b^s/,#,0.010485,0.006671,0.047175,1.61,
bust,/b^st/,#,0.002236,0.000808,0.000643,1.62,
but,/b^t/,HRI,0.011174,0.000160,0.000866,1.65,
butt,/b^t/,#,0.003764,0.000550,0.002707,1.59,
butte,/byUt/,#,0.049611,0.095819,0.041119,1.74,
buy,/bI/,#,0.006850,0.000402,0.001066,1.52,
buzz,/b^z/,#,0.005306,0.018014,0.014722,1.66,
by,/bI/,HFRIC,0.017560,0.000140,0.002118,1.62,
bye,/bI/,#,0.043892,0.053051,0.005840,1.75,
cab,/k@b/,#,0.007868,0.008200,0.003097,1.65,
cache,/k@S/,#,0.876035,2.687302,0.662435,3.29,
cad,/k@d/,#,0.012785,0.001136,0.002425,1.61,
cage,/kAj/,#,0.043763,0.028124,0.038593,1.79,
cake,/kAk/,#,0.043677,0.016521,0.018293,1.76,
calf,/k@f/,#,0.057185,0.019908,0.028661,1.71,
call,/kol/,#,0.022423,0.004028,0.012803,1.82,
calm,/kam/,#,0.200656,0.032364,0.071401,1.84,
calve,/k@v/,#,0.183053,0.765036,0.085742,2.26,
cam,/k@m/,#,0.190379,0.002311,0.002207,1.55,
came,/kAm/,HEC,0.008628,0.000315,0.001123,1.64,
camp,/k@mp/,#,0.004281,0.009365,0.008265,1.57,
can,/k@n/,#,0.006732,0.000540,0.003375,1.63,
cane,/kAn/,LRIC,0.070885,0.021298,0.015050,1.85,
cant,/k@nt/,#,0.013150,0.003960,0.002201,1.67,
cap,/k@p/,#,0.002728,0.000846,0.002129,1.63,
cape,/kAp/,#,0.024703,0.016718,0.023988,1.75,
car,/kar/,#,0.004890,0.002291,0.000534,1.6,
card,/kard/,#,0.003847,0.000506,0.012270,1.6,
care,/kAr/,#,0.086809,0.015745,0.028900,1.71,
cart,/kart/,REG,0.016383,0.111406,0.009588,1.62,
carve,/karv/,REG,0.025367,0.050640,0.008328,1.76,
case,/kAs/,#,0.060468,0.013878,0.026679,1.84,
cash,/k@S/,#,0.012650,0.015675,0.002832,1.59,
cask,/k@sk/,#,0.017845,0.026824,0.008630,1.77,
cast,/k@st/,#,0.005736,0.009177,0.006824,1.7,
caste,/k@st/,EXC,0.606005,1.251355,0.542606,2.28,
cat,/k@t/,#,0.006892,0.004219,0.003130,1.66,
catch,/k@C/,HRI,0.011068,0.005433,0.009080,1.79,
caught,/kot/,#,0.036098,0.006751,0.026532,1.81,
cause,/koz/,#,0.018897,0.005288,0.032908,1.95,
cave,/kAv/,#,0.098345,0.160266,0.080746,1.91,
cease,/sEs/,#,0.150150,0.173038,0.134156,1.89,
cell,/sel/,#,0.084376,0.018749,0.046383,1.66,
cent,/sent/,#,0.059873,0.006584,0.018535,1.55,
chafe,/CAf/,#,0.226983,0.053433,0.052505,2.09,
chain,/CAn/,REG,0.008483,0.005250,0.008582,1.56,
chair,/CAr/,#,0.017533,0.005889,0.009552,1.64,
chaise,/CAz/,#,0.172570,0.008736,0.130387,1.99,
chalk,/Cok/,#,0.110146,0.007296,0.029750,1.97,
champ,/C@mp/,#,0.022607,0.028917,0.037618,1.66,
chance,/C@ns/,#,0.010269,0.004751,0.014465,1.91,
change,/CAnj/,#,0.029340,0.004881,0.013676,1.72,
chant,/C@nt/,#,0.060352,0.048132,0.027847,1.71,
chap,/C@p/,#,0.007969,0.005852,0.003800,1.66,
char,/Car/,#,0.008190,0.009881,0.002150,1.71,
charge,/Carj/,#,0.029599,0.003303,0.017250,1.8,
charm,/Carm/,#,0.038900,0.024714,0.012411,1.8,
chart,/Cart/,#,0.056882,0.011141,0.026127,1.77,
chase,/CAs/,#,0.133468,0.079864,0.112230,1.84,
chaste,/CAst/,#,0.346917,0.149467,0.166312,2.17,
chat,/C@t/,#,0.090059,0.011405,0.058942,1.88,
chaw,/Co/,#,0.014489,0.035579,0.007035,1.67,
cheap,/CEp/,#,0.013907,0.014893,0.003771,1.76,
cheat,/CEt/,#,0.051971,0.005730,0.025535,1.89,
check,/Cek/,#,0.016050,0.013378,0.012705,1.7,
cheek,/CEk/,#,0.015691,0.006713,0.001936,1.72,
cheep,/CEp/,#,0.015416,0.012394,0.004380,1.59,
cheer,/CEr/,#,0.064886,0.012115,0.026267,1.79,
cheese,/CEz/,#,0.050326,0.065467,0.040044,1.71,
chef,/Sef/,#,0.399065,0.249943,0.182697,1.99,
chess,/Ces/,#,0.080682,0.010619,0.050261,1.84,
chest,/Cest/,#,0.073904,0.012167,0.012727,1.89,
chew,/CU/,#,0.147257,0.238493,0.159390,2.06,
chic,/SEk/,#,0.717701,0.582805,0.427832,2.31,
chick,/Cik/,#,0.165200,0.145091,0.045772,4.07,
chide,/CId/,#,0.023033,0.025302,0.100544,2,
chief,/CEf/,HSTR,0.115618,0.013007,0.034833,1.82,
child,/CIld/,#,0.039506,0.007274,0.014660,1.8,
chill,/Cil/,#,0.024960,0.020507,0.020269,1.82,
chime,/CIm/,REG,0.318117,0.177614,0.177435,1.75,
chin,/Cin/,#,0.068654,0.047642,0.059024,1.79,
chip,/Cip/,#,0.070878,0.054398,0.035287,1.78,
chive,/CIv/,#,0.081828,0.206742,0.027083,2.03,
choice,/CYs/,#,0.080898,0.021613,0.048741,2.09,
choir,/kwIr/,STR,0.329519,0.282930,0.272130,2.09,
choke,/COk/,#,0.029209,0.032672,0.014844,1.93,
chomp,/Camp/,#,0.070651,0.304395,0.069266,1.9,
choose,/CUz/,HFE,0.126334,0.046182,0.045798,1.97,
chop,/Cap/,#,0.024779,0.029823,0.038147,1.83,
chord,/kOrd/,#,0.163715,0.113679,0.181825,1.91,
chore,/COr/,REG,0.048102,0.022000,0.090667,2,
chose,/COz/,#,0.055544,0.008479,0.041743,1.93,
chow,/CW/,#,0.150977,0.044018,0.097210,1.91,
christ,/krIst/,#,0.082353,0.015443,0.035684,1.83,
chrome,/krOm/,#,0.059397,0.233041,0.114885,1.7,
chuck,/C^k/,#,0.043398,0.038174,0.052034,1.97,
chum,/C^m/,#,0.171596,0.280373,0.133956,2.01,
chump,/C^mp/,#,0.042453,0.067412,0.035010,2.04,
chunk,/C^Nk/,#,0.032471,0.035795,0.047607,1.94,
church,/CurC/,HSTR,0.051509,0.005126,0.021114,1.93,
churn,/Curn/,#,0.064661,0.121790,0.035529,2.1,
chute,/SUt/,STR,0.401180,0.604174,0.254464,2.36,
cinch,/sinC/,#,0.141136,0.174637,0.185853,2.04,
cite,/sIt/,#,0.177899,0.251557,0.161416,1.82,
clad,/kl@d/,#,0.001913,0.000397,0.000821,1.74,
claim,/klAm/,#,0.019304,0.006078,0.006337,1.63,
clam,/kl@m/,#,0.015744,0.000310,0.000682,1.61,
clamp,/kl@mp/,#,0.002870,0.025792,0.012613,1.6,
clan,/kl@n/,#,0.002528,0.000387,0.000807,1.68,
clang,/kl@N/,LRIC,0.005989,0.005774,0.011131,1.66,
clap,/kl@p/,#,0.005758,0.003228,0.004591,1.67,
clash,/kl@S/,#,0.008260,0.010846,0.003594,1.67,
class,/kl@s/,HEC,0.001855,0.001949,0.004143,1.65,
clause,/kloz/,#,0.056683,0.046855,0.070296,2.07,
claw,/klo/,REG,0.000552,0.000228,0.000391,1.55,
clay,/klA/,#,0.008973,0.001009,0.005345,1.63,
clean,/klEn/,HFRIC,0.011199,0.007090,0.016379,1.77,
clear,/klEr/,#,0.032628,0.003341,0.001250,1.74,
cleat,/klEt/,#,0.011373,0.066914,0.004161,1.71,
cleft,/kleft/,#,0.048243,0.218970,0.048826,1.76,
clench,/klenC/,#,0.041094,0.126814,0.025267,2.26,
clerk,/klurk/,EXPT,0.002222,0.003099,0.003288,1.67,
click,/klik/,CON,0.006671,0.014790,0.013748,1.77,
cliff,/klif/,#,0.006522,0.002792,0.002985,1.68,
climb,/klIm/,STREXPT,0.084200,0.059641,0.121481,1.82,
clinch,/klinC/,#,0.171240,0.213106,0.059592,1.96,
cling,/kliN/,#,0.015473,0.005436,0.019912,1.68,
clink,/kliNk/,#,0.011413,0.002303,0.005772,1.63,
clip,/klip/,#,0.003240,0.014350,0.033215,1.66,
cloak,/klOk/,#,0.002359,0.011960,0.002152,1.84,
clock,/klak/,CON,0.014522,0.002466,0.001926,1.79,
clod,/klad/,#,0.006568,0.001785,0.010119,1.78,
clog,/klog/,#,0.024972,0.122853,0.028473,1.79,
clone,/klOn/,#,0.009645,0.033127,0.004471,1.75,
clop,/klap/,#,0.003264,0.010689,0.004561,1.78,
close,/klOs/,#,0.099300,0.012767,0.037842,1.99,
clot,/klat/,#,0.142494,0.065051,0.021455,1.9,
cloth,/kloT/,#,0.044266,0.017173,0.015667,2.01,
clothe,/klOD/,#,0.110053,0.149900,0.145942,2.41,
clots,/klats/,#,0.264928,0.523395,0.109445,2.19,
cloud,/klWd/,#,0.006841,0.002054,0.012128,1.7,
clout,/klWt/,#,0.008460,0.012933,0.006062,1.77,
clove,/klOv/,#,0.222794,0.103941,0.131980,2.34,
clown,/klWn/,#,0.248964,0.077690,0.071505,2.01,
club,/kl^b/,#,0.008867,0.003603,0.002403,1.69,
cluck,/kl^k/,#,0.001469,0.001550,0.015547,1.64,
clue,/klU/,#,0.008457,0.002661,0.007615,1.76,
clump,/kl^mp/,#,0.011209,0.007311,0.001236,1.59,
clung,/kl^N/,#,0.004862,0.006234,0.022068,1.71,
clutch,/kl^C/,#,0.003440,0.026025,0.009509,1.97,
coach,/kOC/,#,0.030559,0.008880,0.021046,1.82,
coal,/kOl/,#,0.006878,0.005685,0.001334,1.64,
coarse,/kOrs/,#,0.004101,0.006659,0.001086,1.64,
coast,/kOst/,#,0.008253,0.002185,0.020110,1.65,
coat,/kOt/,#,0.001034,0.001754,0.001121,1.59,
coax,/kOks/,#,0.036440,0.148069,0.052902,1.71,
cock,/kak/,#,0.009509,0.013118,0.001406,1.74,
cod,/kad/,#,0.018039,0.009547,0.003380,1.75,
code,/kOd/,LRIC,0.006116,0.001833,0.013351,1.83,
coil,/kYl/,#,0.019350,0.008187,0.008302,1.91,
coin,/kYn/,#,0.025259,0.034538,0.077163,1.84,
coke,/kOk/,CON,0.008576,0.030221,0.013714,1.72,
cold,/kOld/,#,0.024795,0.003526,0.007622,1.71,
cole,/kOl/,#,0.039599,0.025645,0.016270,1.86,
colt,/kOlt/,#,0.052692,0.030234,0.033165,1.93,
